level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
4	5031183	5031295	#ff00aa	1.0	Copy size=184000	13					133
4	5084674	5084683	#ff00aa	1.0	Copy size=16000	16					3437
4	5208214	5208222	#ff00aa	1.0	Copy size=16000	19					4562
4	5208271	5208442	#ff00aa	1.0	Copy size=48000	23					1637
3	5208281	5208361	#ff00aa	1.0	Copy size=16000	20					4564
2	5208285	5208332	#ff00aa	1.0	Copy size=16000	21					4125
1	5208291	5208302	#ff00aa	1.0	Copy size=48000	22					4563
4	5260389	5260402	#ff00aa	1.0	Copy size=16000	25					3438
4	5382860	5382866	#ff00aa	1.0	Copy size=16000	28					3439
4	5382917	5383043	#ff00aa	1.0	Copy size=48000	32					1638
3	5382921	5382995	#ff00aa	1.0	Copy size=16000	29					3442
2	5382925	5382975	#ff00aa	1.0	Copy size=16000	30					3441
1	5382928	5382932	#ff00aa	1.0	Copy size=48000	31					3440
4	5429721	5429730	#ff00aa	1.0	Copy size=16000	34					3443
4	5558589	5558599	#ff00aa	1.0	Copy size=16000	37					4126
4	5558616	5558677	#ff00aa	1.0	Copy size=16000	38					4565
3	5558622	5558660	#ff00aa	1.0	Copy size=16000	39					134
2	5558628	5558639	#ff00aa	1.0	Copy size=48000	40					4127
4	5558774	5558788	#ff00aa	1.0	Copy size=48000	41					1639
4	5611374	5611381	#ff00aa	1.0	Copy size=16000	44					4566
4	5735304	5735314	#ff00aa	1.0	Copy size=16000	48					4128
4	5735349	5735454	#ff00aa	1.0	Copy size=48000	53					1640
3	5735357	5735422	#ff00aa	1.0	Copy size=16000	49					3445
2	5735361	5735401	#ff00aa	1.0	Copy size=16000	50					4129
1	5735364	5735371	#ff00aa	1.0	Copy size=48000	52					3444
4	5781168	5781180	#ff00aa	1.0	Copy size=16000	55					4567
4	5904030	5904039	#ff00aa	1.0	Copy size=16000	59					4568
4	5904090	5904197	#ff00aa	1.0	Copy size=16000	60					4571
3	5904096	5904168	#ff00aa	1.0	Copy size=16000	61					5110
2	5904100	5904146	#ff00aa	1.0	Copy size=48000	62					4570
1	5904111	5904120	#ff00aa	1.0	Copy size=48000	63					4569
4	5952554	5952559	#ff00aa	1.0	Copy size=16000	65					4572
4	6076531	6076536	#ff00aa	1.0	Copy size=16000	68					4573
4	6076577	6076707	#ff00aa	1.0	Copy size=48000	73					1641
3	6076584	6076656	#ff00aa	1.0	Copy size=16000	69					4574
2	6076587	6076632	#ff00aa	1.0	Copy size=16000	70					3446
1	6076591	6076597	#ff00aa	1.0	Copy size=48000	71					4130
4	6126112	6126118	#ff00aa	1.0	Copy size=16000	75					4575
4	6256287	6256293	#ff00aa	1.0	Copy size=16000	79					3447
4	6256358	6256615	#ff00aa	1.0	Copy size=48000	84					1642
3	6256371	6256490	#ff00aa	1.0	Copy size=48000	83					3448
2	6256383	6256454	#ff00aa	1.0	Copy size=16000	81					4131
1	6256391	6256400	#ff00aa	1.0	Copy size=16000	82					136
4	6306305	6306317	#ff00aa	1.0	Copy size=16000	87					4576
4	6436969	6436979	#ff00aa	1.0	Copy size=16000	92					3449
4	6437005	6437200	#ff00aa	1.0	Copy size=48000	97					1643
3	6437014	6437099	#ff00aa	1.0	Copy size=16000	93					4133
2	6437020	6437072	#ff00aa	1.0	Copy size=16000	94					4132
1	6437026	6437036	#ff00aa	1.0	Copy size=48000	96					3450
4	6489172	6489188	#ff00aa	1.0	Copy size=16000	100					1644
4	6624317	6624327	#ff00aa	1.0	Copy size=16000	104					3451
4	6624371	6624592	#ff00aa	1.0	Copy size=48000	108					1645
3	6624381	6624517	#ff00aa	1.0	Copy size=16000	105					3453
2	6624388	6624483	#ff00aa	1.0	Copy size=16000	106					3452
1	6624391	6624398	#ff00aa	1.0	Copy size=48000	107					138
4	6678784	6678792	#ff00aa	1.0	Copy size=16000	111					4134
4	6814904	6814916	#ff00aa	1.0	Copy size=16000	115					4577
4	6814964	6815072	#ff00aa	1.0	Copy size=16000	116					4579
3	6814968	6815041	#ff00aa	1.0	Copy size=48000	119					4578
2	6814976	6815016	#ff00aa	1.0	Copy size=16000	117					5410
1	6814980	6814988	#ff00aa	1.0	Copy size=48000	118					139
