level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5005944	5005978	#c7ff00	1.0	Deferred Enqueue Task	1					2
2	5006037	5006100	#ff4a00	1.0	Scheduler	4295000056					108
2	5006124	5006295	#a300ff	1.0	Task Physical Dependence Analysis	1					194
2	5007009	5007063	#00ff3f	1.0	Prepipeline Stage	3					195
2	5007097	5007254	#dfff00	1.0	Logical Dependence Analysis	3					4
2	5007290	5007326	#333399	1.0	Deferred Ready Trigger	3					272
2	5007355	5007362	#333399	1.0	Deferred Ready Trigger	4					196
2	5007384	5007406	#333399	1.0	Deferred Ready Trigger	5					197
2	5007431	5007952	#dfff00	1.0	Logical Dependence Analysis	6					109
2	5007987	5007994	#333399	1.0	Deferred Ready Trigger	6					6
2	5008044	5008048	#333399	1.0	Deferred Ready Trigger	7					198
2	5008070	5008078	#333399	1.0	Deferred Ready Trigger	8					273
2	5008098	5008109	#ff4a00	1.0	Scheduler	34359738368					111
2	5008128	5008140	#333399	1.0	Deferred Ready Trigger	10					199
2	5008160	5008174	#333399	1.0	Deferred Ready Trigger	11					200
2	5008194	5008199	#333399	1.0	Deferred Ready Trigger	12					201
2	5008216	5008773	#dfff00	1.0	Logical Dependence Analysis	14					8
2	5008804	5008812	#00ff3f	1.0	Prepipeline Stage	4					274
2	5008832	5008914	#00b7ff	1.0	Operation Physical Dependence Analysis	3					9
2	5008940	5008962	#00b7ff	1.0	Operation Physical Dependence Analysis	4					202
2	5008982	5008994	#00b7ff	1.0	Operation Physical Dependence Analysis	5					11
2	5009019	5009035	#00b7ff	1.0	Operation Physical Dependence Analysis	6					12
2	5009055	5009067	#00b7ff	1.0	Operation Physical Dependence Analysis	7					14
2	5009096	5009313	#a300ff	1.0	Task Physical Dependence Analysis	8					344
2	5009313	5009330	#a300ff	0.15	Task Physical Dependence Analysis (waiting)	8					344
2	5009330	5009346	#a300ff	0.45	Task Physical Dependence Analysis (ready)	8					344
2	5009346	5009733	#a300ff	1.0	Task Physical Dependence Analysis	8					344
1	5009120	5009564	#ff00d7	1.0	Mapper Call map_task for 8	8					78
2	5009746	5009756	#333399	1.0	Deferred Ready Trigger	9					203
2	5009775	5009786	#ff4a00	1.0	Scheduler	38654705664					205
2	5009806	5009825	#00b7ff	1.0	Operation Physical Dependence Analysis	10					112
2	5009846	5009857	#00b7ff	1.0	Operation Physical Dependence Analysis	11					345
2	5009884	5009898	#00b7ff	1.0	Operation Physical Dependence Analysis	12					206
2	5009917	5009919	#00ff3f	1.0	Prepipeline Stage	20					382
2	5009933	5010118	#a300ff	1.0	Task Physical Dependence Analysis	9					383
2	5010130	5010140	#333399	1.0	Deferred Ready Trigger	13					207
2	5010156	5010169	#ff4a00	1.0	Scheduler	55834574848					209
2	5010199	5010209	#006600	1.0	Post-Task Execution	8					210
2	5010227	5010263	#00fcff	1.0	Deferred Post-Task Execution	8					211
2	5010281	5010291	#00fcff	1.0	Deferred Post-Task Execution	9					212
2	5010311	5010397	#a300ff	1.0	Task Physical Dependence Analysis	13					384
2	5010397	5010402	#a300ff	0.15	Task Physical Dependence Analysis (waiting)	13					384
2	5010402	5010408	#a300ff	0.45	Task Physical Dependence Analysis (ready)	13					384
2	5010408	5010541	#a300ff	1.0	Task Physical Dependence Analysis	13					384
2	5010541	5010545	#a300ff	0.15	Task Physical Dependence Analysis (waiting)	13					384
2	5010545	5010549	#a300ff	0.45	Task Physical Dependence Analysis (ready)	13					384
2	5010549	5011011	#a300ff	1.0	Task Physical Dependence Analysis	13					384
1	5010334	5010667	#ff00d7	1.0	Mapper Call map_task for 13	13					79
2	5011030	5011038	#333399	1.0	Deferred Ready Trigger	14					275
2	5011058	5011073	#ff4a00	1.0	Scheduler	60129542144					114
2	5011096	5011207	#a300ff	1.0	Task Physical Dependence Analysis	14					115
