level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5005144	5005172	#ff8c00	1.0	Deferred Enqueue Task	1					35
2	5005208	5005262	#d0ff00	1.0	Scheduler	4294999855					304
2	5005280	5005439	#00fcff	1.0	Task Physical Dependence Analysis	1					305
2	5005954	5005974	#ff2300	1.0	Logical Dependence Analysis	3					306
2	5005992	5006004	#333399	1.0	Deferred Ready Trigger	3					307
2	5006023	5006175	#ff0800	1.0	Operation Physical Dependence Analysis	3					308
2	5006199	5006202	#c4ff00	1.0	Tighten Index Space	12884901888					310
2	5006214	5006215	#c4ff00	1.0	Tighten Index Space	12884901888					311
2	5006227	5006804	#ff2300	1.0	Logical Dependence Analysis	4					312
2	5006826	5006838	#333399	1.0	Deferred Ready Trigger	4					36
2	5006860	5006874	#d0ff00	1.0	Scheduler	17179869184					314
2	5006889	5006915	#333399	1.0	Deferred Ready Trigger	5					315
2	5006932	5006938	#333399	1.0	Deferred Ready Trigger	6					316
2	5006953	5006958	#333399	1.0	Deferred Ready Trigger	7					317
2	5006973	5006978	#333399	1.0	Deferred Ready Trigger	8					318
2	5006993	5006998	#333399	1.0	Deferred Ready Trigger	9					319
2	5007012	5007018	#333399	1.0	Deferred Ready Trigger	10					320
2	5007032	5007037	#333399	1.0	Deferred Ready Trigger	11					321
2	5007051	5007057	#333399	1.0	Deferred Ready Trigger	12					322
2	5007071	5011381	#ff2300	1.0	Logical Dependence Analysis	13					37
2	5011410	5011416	#ff4a00	1.0	Prepipeline Stage	4					38
2	5011426	5011699	#00fcff	1.0	Task Physical Dependence Analysis	4					323
2	5011699	5011721	#00fcff	0.15	Task Physical Dependence Analysis (waiting)	4					323
2	5011721	5011744	#00fcff	0.45	Task Physical Dependence Analysis (ready)	4					323
2	5011744	5012411	#00fcff	1.0	Task Physical Dependence Analysis	4					323
1	5011456	5012136	#ff4100	1.0	Mapper Call map_task for 4	4					283
2	5012433	5012457	#333399	1.0	Deferred Ready Trigger	21					324
2	5012476	5012483	#333399	1.0	Deferred Ready Trigger	24					40
2	5012517	5012565	#ff0800	1.0	Operation Physical Dependence Analysis	5					325
2	5012583	5012601	#ff0800	1.0	Operation Physical Dependence Analysis	6					41
2	5012622	5012640	#ff0800	1.0	Operation Physical Dependence Analysis	7					326
2	5012656	5012675	#ff0800	1.0	Operation Physical Dependence Analysis	8					42
2	5012696	5012713	#ff0800	1.0	Operation Physical Dependence Analysis	9					327
2	5012729	5012745	#ff0800	1.0	Operation Physical Dependence Analysis	10					328
2	5012762	5012783	#ff0800	1.0	Operation Physical Dependence Analysis	11					329
2	5012800	5012819	#ff0800	1.0	Operation Physical Dependence Analysis	12					330
2	5012835	5012847	#333399	1.0	Deferred Ready Trigger	23					331
2	5012863	5012921	#333399	1.0	Deferred Ready Trigger	22					332
2	5012939	5012955	#006600	1.0	Post-Task Execution	4					333
2	5012971	5013032	#cdff00	1.0	Deferred Post-Task Execution	4					334
2	5013050	5013060	#ff0800	1.0	Operation Physical Dependence Analysis	24					335
2	5013075	5013082	#333399	1.0	Deferred Ready Trigger	13					336
2	5013097	5013279	#ff0800	1.0	Operation Physical Dependence Analysis	13					337
2	5013299	5013316	#d0ff00	1.0	Scheduler	55834574848					339
2	5013331	5013343	#d0ff00	1.0	Scheduler	55834574848					340
2	5013358	5014318	#00fcff	1.0	Task Physical Dependence Analysis	47					44
2	5014345	5015068	#00fcff	1.0	Task Physical Dependence Analysis	48					341
2	5015089	5015103	#333399	1.0	Deferred Ready Trigger	25					46
2	5015124	5015129	#333399	1.0	Deferred Ready Trigger	26					342
2	5015144	5015243	#ff0800	1.0	Operation Physical Dependence Analysis	25					47
2	5015269	5015277	#ff0800	1.0	Operation Physical Dependence Analysis	26					343
2	5015292	5015317	#333399	1.0	Deferred Ready Trigger	27					49
2	5015339	5015346	#333399	1.0	Deferred Ready Trigger	28					344
2	5015360	5015367	#ff0800	1.0	Operation Physical Dependence Analysis	28					345
2	5015380	5015386	#333399	1.0	Deferred Ready Trigger	14					346
2	5015398	5015482	#ff0800	1.0	Operation Physical Dependence Analysis	14					50
2	5015507	5015520	#d0ff00	1.0	Scheduler	60129542144					348
2	5015533	5015542	#d0ff00	1.0	Scheduler	60129542144					349
